ts;x;y;z
2022-12-27 13:56:04.184087;3.217003;0.142563;0.081657,
2022-12-27 13:56:04.194145;2.846933;0.136850;0.007802,
2022-12-27 13:56:04.204203;2.466251;0.143111;0.009872,
2022-12-27 13:56:04.214261;2.106451;0.169303;0.053344,
2022-12-27 13:56:04.224319;1.826194;0.166934;0.095803,
2022-12-27 13:56:04.234377;1.697780;0.181781;0.111812,
2022-12-27 13:56:04.244435;1.701830;0.276383;0.095602,
2022-12-27 13:56:04.254493;1.834291;0.244073;0.054461,
2022-12-27 13:56:04.264551;2.081802;0.191029;0.071482,
2022-12-27 13:56:04.274609;2.339137;0.202405;0.118192,
2022-12-27 13:56:04.284667;2.496230;0.217202;0.146987,
2022-12-27 13:56:04.294726;2.528659;0.173819;0.148205,
2022-12-27 13:56:04.304784;2.536024;0.141515;0.151638,
2022-12-27 13:56:04.314842;2.528633;0.217595;0.146073,
2022-12-27 13:56:04.324900;2.534149;0.359865;0.144682,
2022-12-27 13:56:04.334958;2.560840;0.477908;0.176732,
2022-12-27 13:56:04.345016;2.585951;0.478528;0.224340,
2022-12-27 13:56:04.355074;2.607015;0.360024;0.268383,
2022-12-27 13:56:04.365132;2.610254;0.220903;0.350621,
2022-12-27 13:56:04.375190;2.546205;0.131634;0.440304,
2022-12-27 13:56:04.385248;2.392411;0.050190;0.483999,
2022-12-27 13:56:04.395306;2.176851;-0.030678;0.485043,
2022-12-27 13:56:04.405364;1.940194;-0.074818;0.478054,
2022-12-27 13:56:04.415423;1.764672;-0.132061;0.501631,
2022-12-27 13:56:04.425481;1.598127;-0.213625;0.521245,
2022-12-27 13:56:04.435539;1.414463;-0.342892;0.495299,
2022-12-27 13:56:04.445597;1.259876;-0.445868;0.478290,
2022-12-27 13:56:04.455655;1.200617;-0.534240;0.420241,
2022-12-27 13:56:04.465713;1.258809;-0.633612;0.326369,
2022-12-27 13:56:04.475771;1.377872;-0.681799;0.259654,
2022-12-27 13:56:04.485829;1.486095;-0.590038;0.229440,
2022-12-27 13:56:04.495887;1.507233;-0.473911;0.195841,
2022-12-27 13:56:04.505945;1.461501;-0.397868;0.150192,
2022-12-27 13:56:04.516003;1.377439;-0.346239;0.107851,
2022-12-27 13:56:04.526061;1.313757;-0.287832;0.071724,
2022-12-27 13:56:04.536120;1.291891;-0.168253;0.061734,
2022-12-27 13:56:04.546177;1.314968;-0.002382;0.115335,
2022-12-27 13:56:04.556236;1.333604;0.134282;0.192117,
2022-12-27 13:56:04.566294;1.348298;0.174922;0.263616,
2022-12-27 13:56:04.576352;1.330860;0.193070;0.333932,
2022-12-27 13:56:04.586410;1.248974;0.191898;0.387603,
2022-12-27 13:56:04.596468;1.122349;0.190550;0.426047,
2022-12-27 13:56:04.606526;1.000660;0.217632;0.434981,
2022-12-27 13:56:04.616584;0.974875;0.259695;0.449719,
2022-12-27 13:56:04.626642;1.084880;0.329913;0.471813,
2022-12-27 13:56:04.636700;1.267707;0.339092;0.443309,
2022-12-27 13:56:04.646758;1.426093;0.243507;0.399431,
2022-12-27 13:56:04.656816;1.601252;0.192324;0.457372,
2022-12-27 13:56:04.666874;1.774677;0.099087;0.565632,
2022-12-27 13:56:04.676932;1.916277;-0.018176;0.628863,
2022-12-27 13:56:04.686990;2.012969;-0.094259;0.637059,
2022-12-27 13:56:04.697048;1.996310;-0.003044;0.567063,
2022-12-27 13:56:04.707106;1.875028;0.110139;0.429644,
2022-12-27 13:56:04.717164;1.709444;0.126190;0.274724,
2022-12-27 13:56:04.727222;1.581725;0.089967;0.130066,
2022-12-27 13:56:04.737280;1.513568;0.048513;0.012070,
2022-12-27 13:56:04.747338;1.480255;0.014265;-0.051441,
2022-12-27 13:56:04.757396;1.418286;0.069255;-0.025866,
2022-12-27 13:56:04.767455;1.299446;0.021090;0.026125,
2022-12-27 13:56:04.777513;1.065990;0.005270;0.088979,
2022-12-27 13:56:04.787571;0.713279;-0.046857;0.129490,
2022-12-27 13:56:04.797629;0.325811;-0.120032;0.148311,
2022-12-27 13:56:04.807687;-0.045669;-0.135153;0.113027,
2022-12-27 13:56:04.817745;-0.315335;-0.118867;0.053488,
2022-12-27 13:56:04.827803;-0.402187;-0.044858;-0.024234,
2022-12-27 13:56:04.837861;-0.329867;0.061302;-0.131408,
2022-12-27 13:56:04.847919;-0.139975;0.123372;-0.231967,
2022-12-27 13:56:04.857977;0.114972;0.079391;-0.274212,
2022-12-27 13:56:04.868035;0.320106;0.020959;-0.260237,
2022-12-27 13:56:04.878094;0.401136;0.004696;-0.251003,
2022-12-27 13:56:04.888152;0.375080;0.065815;-0.265825,
2022-12-27 13:56:04.898210;0.284830;0.170233;-0.327194,
2022-12-27 13:56:04.908268;0.200482;0.229335;-0.380330,
2022-12-27 13:56:04.918326;0.209249;0.228548;-0.370490,
2022-12-27 13:56:04.928384;0.319309;0.223585;-0.284959,
2022-12-27 13:56:04.938442;0.461077;0.199939;-0.143695,
2022-12-27 13:56:04.948500;0.567908;0.141506;0.005808,
2022-12-27 13:56:04.958558;0.597104;0.073205;0.073331,
2022-12-27 13:56:04.968616;0.549568;0.057312;0.054528,
2022-12-27 13:56:04.978674;0.471134;0.093835;-0.000008,
2022-12-27 13:56:04.988732;0.388716;0.141364;-0.054200,
2022-12-27 13:56:04.998791;0.352045;0.112576;-0.067621,
2022-12-27 13:56:05.008849;0.344188;0.094602;-0.034658,
2022-12-27 13:56:05.018907;0.339639;0.100536;0.012055,
2022-12-27 13:56:05.028965;0.319940;0.105147;0.017817,
